ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
fuzhongyiwanjinzhangda 负重一万斤长大,负重一万斤长大,A435,"【开始】427左下滑条按住爆尾&右下单点。
【结束】右下短划尾&左上单点。",B1034,"【开始】右滑条按住爆结尾左单点
【结束】左滑条吃完+结尾右单点",64,B1034,"【开始】右滑条按住爆结尾左单点
【结束】左滑条吃完+结尾右单点",33,1
gaobai 告白,告白,B577,"【开始】574左二连点后，爆右二连点第二个。
【结束】左直条&右滑条尾。",B703,"【开始】700左滑点后，爆左二连点。
【结束】左直条&右滑条尾。",66,B577,"【开始】574左二连点后，爆右二连点第二个。
【结束】左直条&右滑条尾。",33,1
Gee,Gee,A584,"【开始】568右滑条后,爆第二次右短滑点。(存)
【结束】A段结束,右长滑点尾&左单点。",B1140,"【开始】1106双滑条后,第二次左直条按住过1cb爆,难。
【结束】歌曲结束,左长滑点尾&右单点。(备注)",82,B1160,"【开始】四次短滑点+右单点后,爆左滑点&右直条。
【结束】歌曲结束,左长滑点尾&右单点。",43,1
Gentleman,Gentleman,"A314(存气)
A287","【开始】302双直条后，过右短滑点，爆左二连点(存)
【结束】双直条吃完，中场
【开始】285左短滑点后，过右点，爆左点
【结束】双直条吃完，中场","B616
B635","【开始】613左短滑点，过右二连点，爆双滑条
【结束】双直条吃完
【开始】633右短滑点后，过左点，爆右点
【结束】双长条结尾处",67,B635,"【开始】633右短滑点后，过左点，爆右点
【结束】双长条结尾处",33,1
getitonthefloor get it on the floor,Get It On The Floor,A304,"【开始】导歌,右直条后,爆左二连点第二个。
【结束】左滑点尾&右单点。",B979,"【开始】导歌最后,左直条后,爆第一次双点。
【结束】连续三次二连点,第三次二连点(左)第一个。",81,B979,"【开始】导歌最后,左直条后,爆第一次双点。
【结束】连续三次二连点,第三次二连点(左)第一个。",41,1
gogo go go,GO  GO,B780,"【开始】右短滑点后，爆左大滑点
【结束】右滑点结尾",B962,"【开始】左滑条+右滑点后，爆左大滑点
【结束】右滑条+左大滑点(左大滑点吃完)",112,B962,"【开始】左滑条+右滑点后，爆左大滑点
【结束】右滑条+左大滑点(左大滑点吃完)",56,2
goodtime good time,Good Time,A158,"【开始】导歌中，右滑点后，过空气，爆左三连点.
【结束】左滑条头.",B351,"【开始】桥段，右上滑点后，左滑条拖住，爆第一个右单点.
【结束】左直条按住，右第一个点.",65,B351,"【开始】桥段，右上滑点后，左滑条拖住，爆第一个右单点.
【结束】左直条按住，右第一个点.",33,2
guanjitixing 关机提醒,关机提醒,B500,"【开始】右滑点后，爆从左往右三连点
【结束】左下二连点",B572,"【开始】左滑点后，过右单点，爆右滑点
【结束】右滑点",61,B572,"【开始】左滑点后，过右单点，爆右滑点
【结束】右滑点",31,1
gudumiandian 孤独面店,孤独面店,A208,"【开始】203左直条后，爆右滑点。
【结束】左滑条尾。",B821,"【开始】816左直条后，爆左滑条&右直条。
【结束】左直条头&右滑条头。",71,B821,"【开始】816左直条后，爆左滑条&右直条。
【结束】左直条头&右滑条头。",38,1
gulouguawen 孤陋寡闻,孤陋寡闻,B374,"【开始】左滑条后，右滑条按住4cb爆。
【结束】左滑点。",B464,"【开始】右滑条后，左滑条按住4cb爆。
【结束】右滑点。",68,B374,"【开始】左滑条后，右滑条按住4cb爆。
【结束】左滑点。",34,2
