ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
meiyouxuanze 没有选择,没有选择,A251,"【开始】左手两个单点后，爆4轨条。（存）
【结束】A短结束，1轨右滑键（非满分）",B382,"【开始】3轨短条尾&1轨单点后，爆4轨单点。
【结束】2-3-2第三个：2轨单点。（非满分）",58,B376,"【开始】“如果我放弃了”爆“了”：3轨短条。
【结束】4轨短条按住，2轨单点。",29,1
mermaidgirl mermaid girl,Mermaid Girl,A219,"【开始】一轨条后过小段空气，爆三轨单点
【结束】三轨二连点第二个",B477,"【开始】四轨条后过小段空气，爆二轨单点
【结束】二轨二连点第二个",68.8,A219,"【开始】一轨条后过小段空气，爆三轨单点
【结束】三轨二连点第二个",34.4,2
mimimi mimimi,Mimimi,A78,"【开始】3轨短条后，过两个点，爆2轨单点。
【结束】1&4轨双点。",B310,"【开始】4轨单点后，爆1-2-1第一个单点：1轨单点。
【结束】2轨直条后，4轨直条头。",61,B310,"【开始】4轨单点后，爆1-2-1第一个单点：1轨单点。
【结束】2轨直条后，4轨直条头。",30,1
mongtagi mongtagi,Mongtagi,B701,"【开始】 698一轨右滑键后，过两个单点，爆三轨拐条
【结束】四轨轨条右滑尾+一轨拐条头",B950,"【开始】 三轨条右拐后，一轨拐条按住爆右滑尾
【结束】二轨左滑条结尾左滑",103.1,B701,"【开始】 698一轨右滑键后，过两个单点，爆三轨拐条
【结束】四轨轨条右滑尾+一轨拐条头",53.9,1
mywu my舞,MY舞☆TONIGHT,A333,【开始】导歌最后，1轨条按住，右滑时爆&3轨条 【结束】2&3轨双点。,A663,【开始】高潮，2&4双轨接双条按住，双左滑时爆     【结束】双左滑时。,115,A333,【开始】导歌最后，1轨条按住，右滑时爆&3轨条 【结束】2&3轨双点。,60,1
n8pm n8pm,N8PM-比尔的歌,A162,"开始:空气后，爆二轨二连点第一个
结束:二轨单点后，四轨单点",B371,"开始:空气后，爆四轨二连点第一个
结束:四轨单点后，二轨单点",62.8,A162,"开始:空气后，爆二轨二连点第一个
结束:二轨单点后，四轨单点",31.4,1
nanbanqiuyubeihaidao 南半球与北海道,南半球与北海道,A218,"【开始】四轨单点后，爆二轨二连点第一个
【结束】二轨短条尾+四轨单点",B629,"【开始】一轨单点后，爆三轨二连点第一个
【结束】三轨短条尾+一轨单点",64.8,A218,"【开始】四轨单点后，爆二轨二连点第一个
【结束】二轨短条尾+四轨单点",32.4,1
nidakebubi 你大可不必,你大可不必,B549,"【开始】543cb一轨短条+三轨点按住，爆条尾+四轨单点
【结束】二轨左滑条后，3&4轨双打",B1006,"【开始】1000cb二轨单点+四轨短条按住，爆条尾+一轨单点
【结束】三轨右滑条后，1&2轨双打",91.7,B1006,"【开始】1000cb二轨单点+四轨短条按住，爆条尾+一轨单点
【结束】三轨右滑条后，1&2轨双打",46,1
nilangqianqiu 逆浪千秋,逆浪千秋,B553,【开始】过一轨长条，爆五轨条头  【结束】一轨右滑键,B740,【开始】过空气，爆一轨条头+五轨单点  【结束】2&5轨单点,77.2,B740,【开始】过空气，爆一轨条头+五轨单点  【结束】2&5轨单点,39,1
niyoumeiyouguo 你有没有过,你，有没有过（100）,B542,【开始】B段第二个条+点2轨长条开始&4轨单点         【结束】4轨单点。,B835,【开始】爆第四组双点：1&4轨双点        【结束】3轨条右滑后按住，4轨条尾。,103,B835,【开始】爆第四组双点：1&4轨双点            【结束】3轨条右滑后按住，4轨条尾。,51,1
