ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
gentleman gentleman,Gentleman,B347,"【开始】右白球
【结束】右白球后的左点",B381,"【开始】左滑
【结束】散点吃完",76,B347,"【开始】右白球
【结束】右白球后的左点",39,1
getitonthefloor get it on the floor,Get It On The Floor,A373,"【开始】副歌开始，爆第二个白球，右手白球
【结束】左手二连点第一个（双排一样）",B732,"【开始】副歌中间，爆第二个白球，右手白球
【结束】左手二连点第一个（双排一样）",78,A373,"【开始】副歌开始，爆第二个白球，右手白球
【结束】左手二连点第一个",39,1
geyao 歌谣,歌谣,A227,"【开始】左手白球后，爆右手三连点（存）
【结束】A段结束，双打（偷）",B345,"【开始】右手三连点后，过三个散点爆左手白球&右手条
【结束】双长条后，右手白球&左手条开头",70,B461,"【开始】左手普通球后，右手单长条
【结束】双长条后第二个球（左手滑球）",34,1
gogo go go,GO GO,B417,"【开始】412右左2组二连点后，右条按住1cb爆
【结束】右二连点结束",B555,"【开始】544右起3根条后，爆左白球
【结束】左二连点结束",68.2,B417,"【开始】412右左2组二连点后，右条按住1cb爆
【结束】右二连点结束",35.2,1
goodtime good time,Good Time,A218,"【开始】212右手条后，过左手滑球爆左手白球（存）
【结束】A段结束，踩左手条接到右手普通球",B350,"【开始】343右手条后，爆第二组右手二连点
【结束】连续两组二连点后，右手白球",73,B330,"【开始】踩326左手条爆右手单长条
【结束】左手三连点后，右手滑球",36,2
guanjitixing 关机提醒,关机提醒,A157,"【开始】152右条后，爆左二连点
【结束】左单点",B326,"【开始】323左二连点后，过右单点，爆右单点
【结束】右二连点第一个",64,B326,"【开始】323左二连点后，过右单点，爆右单点
【结束】右二连点第一个",32.5,2
gudumiandain 孤独面店,孤独面店,A285,"【开始】左单后，爆左二连点
【结束】左单点，中场",B415,"【开始】412右二连点后，过左单，爆右单点
【结束】左白球",60.5,B415,"【开始】412右二连点后，过左单，爆右单点
【结束】左白球",30.5,1
gulouguawen 孤陋寡闻,孤陋寡闻,B257,"【开始】右长条后，爆左滑球
【结束】右单点",B417,"【开始】左单点后，右长条按住3cb爆
【结束】右单点",67.6,B417,"【开始】左单点后，右长条按住3cb爆
【结束】右单点",34.1,2
guowanghuanghou 国王皇后,国王皇后,A232,"【开始】221右左两条后，过右单点，爆双压
【结束】双压",B640,"【开始】633双压后，过右条，爆左条
【结束】双条结束",65,B640,"【开始】633双压后，过右条，爆左条
【结束】双条结束",32.6,1
gushuhuixiang 古蜀回响,古蜀回响,A308,"【开始】301右条后，爆左滑球（存）
【结束】双条结束，中场",B692,"【开始】685右条后，爆左滑球
【结束】双条结束",50.7,A302,"【开始】299右滑球，过左单点，右条按住1cb爆
【结束】双条结束，中场",25.1,1
hackingtothegate hacking to the gate,Hacking to the Gate,A198,"【开始】条加点后，爆连续两对双打。
【结束】踩右手条接到左手二连点第一个。",B935,"【开始】一个普通球紧连着的右手条直接爆。（极）
【结束】第二个白球（右）。",81,B935,"【开始】一个普通球紧连着的右手条直接爆。（极）
【结束】第二个白球（右）。",41,1
hairtie hair tie,hair tie,A110,"【开始】104有点接条后，爆左点接条
【结束】右二连点结束",B275,"【开始】269左点接条后，爆右点接条
【结束】左二连点结束",59,A110,"【开始】104有点接条后，爆左点接条
【结束】右二连点结束",29.5,1
hallonmig hall om mig,Hall om mig,B482,"【开始】右手两个散点后，爆左条
【结束】双条，左条结束",B533,"【开始】右手条按住，爆左直条
【结束】左单点",65.3,B493,"【开始】左手三连点后爆右单点
【结束】右单点",34.1,2
haowubaoliu 毫无保留,毫无保留,B302,"【开始】左条后，爆右单点
【结束】左条中",B425,"【开始】右条后，爆左单点
【结束】散点吃完（右）",56,B425,"【开始】右条后，爆左单点
【结束】散点吃完（右）",,1
haoxiangbaozhuni 好想抱住你,好想抱住你,A189,"【开始】187右滑球，过右单点，爆左单点
【结束】左白球",B461,"【开始】459右滑球，过右单点，爆左单点
【结束】左白球",64,A189,"【开始】187右滑球，过右单点，爆左单点
【结束】左白球",32,1
haoxiangdashengshuoxihuanni 好想大声说喜欢你,好想大声说喜欢你,A82,"【开始】导歌第二句，左手滑球后，爆左手白球
【结束】第三次双长后的双打",B317,"【开始】导歌第一句，爆左手普通球紧接着的双打。
【结束】吃完第二次双长条。",75,B317,"【开始】导歌第一句，爆左手普通球紧接着的双打。
【结束】吃完第二次双长条。",37,1
heartshaker heart shaker,Heart Shaker,A363,"【开始】356左条后，爆右白球
【结束】右白球",B952,"【开始】945左条后，爆右白球
【结束】右白球",71.2,A363,"【开始】356左条后，爆右白球
【结束】右白球",35.6,1
herewithyou here with you,Here With You*（100）,A102,"【开始】界面变橙（100cb）后，第一次右手二连点
【结束】双长条后，右手普通球",B412,"【开始】右手二连点，踩408左手条爆右手单长条
【结束】三散点后，右手白球",62,B412,"【开始】右手二连点，踩408左手条爆右手单长条
【结束】三散点后，右手白球",32,2
heybabynishiwode hey baby你是我的,Hey Baby 你是我的,A192,"【开始】第一次高潮两次三连点后，爆左手普通球。（极）
【结束】左手二连点后，右手普通球。（偷）",B606,"【开始】第三次高潮两次三连点后，爆左手白球。（极）
【结束】左手二连点后，右手普通球。（偷）",71,B606,"【开始】第三次高潮两次三连点后，爆左手白球。（极）
【结束】左手二连点后，右手普通球。（偷）",36,1
high high,High,A186,"A184左滑球后，过右单点，爆左白球接左单点
【结束】左白球",A231,"【结束】226左滑球后过左单点，按住右单点+左条
爆接近条尾
【结束】右单点（中场倒数第2个）",65.2,A231,"【结束】226左滑球后过左单点，按住右单点+左条
爆接近条尾
【结束】右单点（中场倒数第2个）",33.6,1
hip hip,Hip,A108,"【结束】103左条后，爆右白球
【结束】左二连点后第2个单点（左）
",B252,"【开始】249右滑球后，爆第3个单点（左）
【结束】第3组二连点（左）第1个",78.5,B252,"【开始】249右滑球后，爆第3个单点（左）
【结束】第3组二连点（左）第1个",39.5,2
history history,History,A240,"【开始】237右条按住爆左点
【结束】双打",B584,"【开始】581左条按住爆右点
【结束】双打",82,A240,"【开始】237右条按住爆左点
【结束】双打",41,1
huanghun 黄昏,黄昏,B635,"【开始】左滑球后，爆右单点
【结束】右单点",B792,"【开始】右单点后，爆左二连点
【结束】右二连点的第一个点",68.4,B792,"【开始】右单点后，爆左二连点
【结束】右二连点的第一个点",34.3,1
huanyoushikong 幻游时空,环游时空,A159,"【开始】156双打后，过右单点，爆左单点
【结束】右单点",B268,"【开始】263左条后，过短暂空气，爆右白球
【结束】右条按住1cb",62.3,B268,"【开始】263左条后，过短暂空气，爆右白球
【结束】右条按住1cb",32.3,1
huima 会吗,会吗,A595,"【开始】左条按住爆右三连点
【结束】中场",B712,"【开始】右手条
【结束】左手三连点",64,B764,"【开始】761左条后，爆右条
【结束】左长条尾+右白球",32.5,1
huohua 火花,火花,A295,"【开始】右手条后，高潮前间奏，爆双长条。（极）
【结束】双长条后双白球。（偷）",B802,"【开始】第二次高潮中间双长条后，爆双白球。（极）
【结束】左手二连点后双滑球。（偷）",93,B802,"【开始】第二次高潮中间双长条后，爆双白球。
【结束】左手二连点后双滑球。",48,1
iknewyouweretrouble i knew you were trouble,I Know You Were Trouble,A300,"【开始】导歌第四句，右手白球后爆左手普通球。
【结束】条加点后，右手白球。",B529,"【开始】导歌第四句最后，爆左手普通球。
【结束】踩左手条接到右手普通球。",65,A300,"【开始】导歌第四小句，右手白球后爆左手普通球。
【结束】条加点后，右手白球。",34,1
inmyzone in myzone,In My Zone,A202,"【开始】爆右单点，接双长条
【结束】右白球",B567,"【开始】爆右单点，接双长条
【结束】左白球",75.4,A202,"【开始】爆右单点，接双长条
【结束】右白球",37.7,1
intothenight into the night,Into The Night,A100,"【开始】右滑球后，爆右单点
【结束】右三散点",B222,"【开始】左条接右单点后，爆左长条
【结束】左二散点",67.3,B222,"【开始】左条接右单点后，爆左长条
【结束】左二散点",34.3,2
iwantmytearsback i want my tears back,I Want My Tears Back,B295,"【开始】B段开头第七个球（左手普通球）。
【结束】吃完连续三对双打。",B508,"【开始】踩499左手条过右手滑球爆右手普通球。
【结束】第二次双白球。",87,B508,"【开始】踩499左手条过右手滑球爆右手普通球。
【结束】第二次双白球。",44,1
jaroflove jar of love,Jar Of Love,B306,"【开始】303右手条&左手单点，条按住过2cb开爆气
【结束】散点后，吃完二连双打",B380,"【开始】左手滑球后，过右手单点爆左手连续二散点
【结束】左手条&右滑球带右白球，吃完左手单长条",72,B306,"【开始】3030右手条&左手单点，条按住过2cb开爆气
【结束】散点后，吃完二连双打",37,1
jellyjelly jelly jelly,JELLY JELLY,B521,"【开始】踩512右手条爆左手白球。
【结束】左手二连点后，右手普通球。",B582,"【开始】导歌第二段，左手滑球后，爆右手普通球。
【结束】右手滑球后，左手白球。",71,B521,"【开始】踩512右手条爆左手白球。
【结束】左手二连点后，右手普通球。",36,1
jianhun 剑魂,剑魂,A179,"【开始】172左条后，过右左单点，爆右白球
【结束】左二连点结束",B313,"【开始】过散点（右结束），爆左白球
【结束】左二连点结束",56.9,B313,"【开始】过散点（右结束），爆左白球
【结束】左二连点结束",28.9,1
jijuhuaeryi 几句话而已,几句话而已,A232,"【开始】右单点后，右长条按住2cb爆（存）
【结束】双压后，右单点（偷）",B391,"【开始】388左长条按住爆右单点
【结束】右二连点第一个",64.1,B384,"【开始】左单点后，爆左单点
【结束】右三连点",34,2
jinjuebianjingxian 禁绝边境线,禁绝边境线,B565,"【开始】四个滑球后，爆右手单长条。
【结束】右手滑球",B665,"【开始】四个滑球后，左手条按住，爆右手普通球。
【结束】踩右手条接到左手普通球",93,B665,"【开始】四个滑球后，左手条按住，爆右手普通球。
【结束】踩右手条接到左手普通球",47,1
juewangxing 绝望性,绝望性：ヒ一ロ一治療薬,A114,"【开始】111二连点后，过左滑球爆右白球
【结束】右白球",B1188,"【开始】1183三连点+二连点后，爆左条
【结束】双压",103,A114,"【开始】111二连点后，过左滑球爆右白球
【结束】右白球",51.5,1
justlikefire just like fire,Just Like Fire,B468,"【开始】B段导歌开始第三个条加点（左条右点）。
【结束】右手条按住，左手三连点（条结束）。",B721,"【开始】716左手条&右单点，条结束时爆右手白球。
【结束】歌曲结束，右手白球。",83,B721,"【开始】716左手条&右单点，条结束时爆右手白球。
【结束】歌曲结束，右手白球。",43,1
kanong 卡农,卡农【100】,A268,"【开始】第二次高潮左手三连点后，爆左手普通球。
【结束】左手普通球。",B881,"【开始】连续四根单长条，踩最后一根（左）爆右手滑球。
【结束】歌曲结束，右手普通球。（偷）",81,B881,"【开始】连续四根单长条，踩最后一根（左）爆右手滑球
【结束】歌曲结束，右手普通球。（偷）",41,1
keepitup keep it up,keep it up,A270,"【开始】261右左两条后，爆右白球（存）
【结束】双点，中场",B456,"【开始】446左右两个条后，爆左白球
【结束】右单点",76.7,B456,"【开始】446左右两个条后，爆左白球
【结束】左条结束+右单",39,1
keepyourheaddown keep your head down,Keep Your Head Down,B403,"【开始】右二连点后，爆左二连点
【结束】三组双压结束",B504,"【开始】497右左2个滑球后，按住左条，爆右白球
【结束】左二连点后，右单点",85,B403,"【开始】右二连点后，爆左二连点
【结束】三组双压结束",44,1
kelaiyinlan 克莱因蓝,克莱因蓝,A133,"【开始】128左条后，爆右白球
【结束】右滑球后，第二个单点",A187,"【开始】182右条后，爆左白球
【结束】左二连点结束",60,A133,"【开始】128左条后，爆右白球
【结束】右滑球后，第二个单点",30,1
keluodiyakuangxiangqu 克罗地亚狂想曲,克罗地亚狂想曲,A146,"【开始】第一次副歌。两次滑球后爆第二组右手二连点
【结束】第二个右手白球",A207,"【开始】第二次副歌，两次滑球后爆第二组左手二连点
【结束】第二个左手白球",94,A146,"【开始】第一次副歌。两次滑球后爆第二组右手二连点
【结束】第二个右手白球",47,1
keneng 可能,可能,A254,"【开始】247左条，过右单点，爆左白球
【结束】右单点",B431,"【开始】424左条后，过右单点，爆左二连点
【结束】左滑球后，第二个单点（左）",56.1,B431,"【开始】424左条后，过右单点，爆左二连点
【结束】左滑球后，第二个单点（左）",29,1
killingme killing me,Killing ME,A181,"【开始】175左条后，过右单点，爆左单点
【结束】左二连点结束",B420,"【开始】右滑球后，爆左条
【结束】右白球",54.2,B420,"【开始】右滑球后，爆左条
【结束】右白球",27.2,1
knockknock knock knock,KNOCK KNOCK,A147,"【开始】137连续两根单长条后，爆右手滑球
【结束】左手普通球",B277,"【开始】踩273右手条爆左手普通球
【结束】左手白球（散点全部吃完）",65,A147,"【开始】137连续两根单长条后，爆右手滑球
【结束】左手普通球",33,2
kongxiangshenhua 空想神话,空想神话,A77,"【开始】连续两组条+点，踩73左手条爆右手白球
【结束】吃完连续两组三连双打",B1033,"【开始】“survival game”双长条爆
【结束】右手条按住，左手八连点的第七个",93,A77,"【开始】连续两组条+点，踩73左手条爆右手白球
【结束】吃完连续两组三连双打",47,1
