ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
shiningforonething shining for one thing,Shining For One Thing,A118,"【开始】左12.13点绿后，爆中上偏右14单点。
【结束】右上10蓝条结束。",B385,"【开始】右5.6点绿后，爆中上偏左7单点。
【结束】左下1蓝条结束。",41.6,B385,"【开始】右5.6点绿后，爆中上偏左7单点。（A118同分）
【结束】左下1蓝条结束。",20.8,1
shiori shiori,SHIORI,B606,"【开始】右手⑧-⑫连点，爆右下①上滑竖蓝条。
【结束】右上向下①-④连点头。（备注）",B661,"【开始】第五次竖连点：左手向上⑤-⑧连点爆⑧号点。
【结束】左手③绿条前的①②连点。（备注）",93,B661,"【开始】第五次竖连点：左手向上⑤-⑧连点爆⑧号点。
【结束】左手③绿条前的①②连点。（备注）",49,1
shiqudexiatian 逝去的夏天,逝去的夏天,A99,"【开始】中上4单点后，爆中左下5单点。
【结束】右下1单点。",A137,"【开始】中上4单点后，爆中左下5单点。
【结束】右下1单点。（B257/295  5单点同分）",50,A99,"【开始】中上4单点后，爆中左下5单点。
【结束】右下1单点。",25,1
shitianyi 是天意,是天意,A160,"【开始】右下4单点后，爆右上“←”型5.6连点。
【结束】左8蓝条结束+右1单点。",B365,"【开始】左上4单点后，爆左下“→”型5.6连点。
【结束】右8蓝条结束+左1单点。",51.8,B365,"【开始】左上4单点后，爆左下“→”型5.6连点。
【结束】右8蓝条结束+左1单点。",25.9,1
shuixian 水仙,水仙,A368,"【开始】左上1起五连点绿条，按住左下5绿条，爆结尾+偏右6单点。
【结束】左上1起1－11连点。",B796,"【开始】右上1起五连点绿条，按住右下5绿条，爆结尾+左6单点。
【结束】中下13双点。",80,B796,"【开始】右上1起五连点绿条，按住右下5绿条，爆结尾+左6单点。
【结束】中下13双点。",41,1
shunzhefengdefangxiang 顺着风的方向,顺着风的方向,B303,"【开始】左下⑥单点后，爆左上""→""型⑦蓝条
【结束】右下①②③④点点点绿的②单点",B582,"【开始】左下⑥单点后，爆左上""→""型⑦蓝条
【结束】右下①②③④点点点绿的②单点",66.6,B303,"【开始】左下⑥单点后，爆左上""→""型⑦蓝条
【结束】右下①②③④点点点绿的②单点",33.3,1
shuyang 数羊,数羊,A228,"【开始】左下23连点后，爆中右上345连点。
【结束】右上8910连点。",B296,"【开始】左上3单点后，爆左下456连点。
【结束】右下9 10 11点绿条的10点。",53,B296,"【开始】左上3单点后，爆左下456连点。
【结束】右下9 10 11点绿条的10点。",27,1
sishen 死神,死神,A115,"【开始】左下4单点后，爆左上5单点。
【结束】右上1单点。",B306,"【开始】左上5单点后，爆中左上6单点。
【结束】左上2单点。",63,A115,"【开始】左下4单点后，爆左上5单点。
【结束】右上1单点。",33,2
sixfeetunder six feet under,Six feet  under,A184,"【开始】左下4绿条后，爆中上偏右→型5.6连点，
【结束】右5.6连点。",B278,"【开始】左7绿条按住5cb爆
【结束】左下4单点。",36,B299,"【开始】中上4.5点绿后，爆左下6单点。
【结束】右下2单点。",18,2
sixingbugai 死性不改,死性不改,A106,"【开始】右5绿条后，爆左下6单点。
【结束】右8蓝条尾。",B256,"【开始】左5绿条后，爆右上6单点。
【结束】左8蓝条尾。",50,A106,"【开始】右5绿条后，爆左下6单点。
【结束】右8蓝条尾。",25,2
